RowId,200~Jaro-Winkler,200~BiGrams,200~TriGrams,200~Metaphone,201~Jaro-Winkler,201~BiGrams,201~TriGrams,201~Metaphone,202~Jaro-Winkler,202~BiGrams,202~TriGrams,202~Metaphone,203~Jaro-Winkler,203~BiGrams,203~TriGrams,203~Metaphone,204~Jaro-Winkler,204~BiGrams,204~TriGrams,204~Metaphone,205~Jaro-Winkler,205~BiGrams,205~TriGrams,205~Metaphone,206~PercentMatched,207~Jaro-Winkler,207~BiGrams,207~TriGrams,207~Metaphone,208~Jaro-Winkler,208~BiGrams,208~TriGrams,208~Metaphone,210~IsSameValue,211~IsSameValue,212~AreaMatching,213~AreaMatching
1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.55,0.05,0.00,0.61,0.00,0.47,0.03,0.00,0.53,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.44
2.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.52,0.05,0.00,0.51,0.00,0.50,0.07,0.00,0.52,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.40
3.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.61,0.07,0.00,0.70,0.53,0.04,0.00,0.60,0.62,0.10,0.07,0.36,0.00,0.51,0.03,0.00,0.57,0.43,0.00,0.00,0.00,0.00,0.00,0.04,0.61
4.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.61,0.07,0.00,0.70,0.53,0.04,0.00,0.60,0.62,0.10,0.07,0.36,0.00,0.51,0.03,0.00,0.57,0.43,0.00,0.00,0.00,0.00,0.00,0.04,0.61
5.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.53,0.03,0.00,0.58,0.49,0.03,0.00,0.51,0.61,0.11,0.04,0.68,0.67,0.75,0.16,0.11,0.77,0.34,0.00,0.00,0.53,0.00,0.00,0.04,
6.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.44,0.06,0.00,0.38,0.46,0.07,0.00,0.36,0.44,0.06,0.00,0.38,0.00,0.46,0.07,0.00,0.36,0.35,0.00,0.00,0.00,0.00,0.00,0.04,0.53
7.00,1.00,1.00,1.00,1.00,0.75,0.75,0.75,0.75,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.52,0.05,0.00,0.51,0.00,0.50,0.07,0.00,0.52,0.54,0.00,0.00,0.51,0.00,0.00,0.04,0.61
8.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.40,0.00,0.00,0.46,0.42,0.00,0.00,0.35,0.55,0.05,0.00,0.61,0.00,0.47,0.03,0.00,0.53,0.35,0.00,0.00,0.00,0.00,0.00,0.04,0.44
9.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.59,0.08,0.00,0.50,0.61,0.09,0.00,0.48,0.44,0.06,0.00,0.38,0.00,0.46,0.07,0.00,0.36,0.35,0.00,0.00,0.00,0.00,0.00,0.04,0.61
10.00,0.67,0.67,0.67,0.67,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.61,0.07,0.00,0.70,0.53,0.04,0.00,0.60,0.62,0.10,0.07,0.36,0.00,0.51,0.03,0.00,0.57,0.43,0.00,0.00,0.00,0.00,0.00,0.04,0.61
